date_creation,fid,s109_5,s120_3,s3_5,year,quarter
2019-04-08,11899,0,0,0,2015,2
2019-04-08,11899,0,0,0,2015,3
2019-04-08,11899,0,0,0,2015,4
2019-07-08,106026,0,1082400,0,2017,1
2019-07-12,82269,0,0,0,2017,1
2019-07-08,106026,0,1868545,0,2017,2
2019-07-11,193190,0,28288808,0,2017,2
2019-07-14,90996,0,2191171,0,2017,2
2019-07-15,45889,0,1933725,0,2017,2
2019-07-12,82269,0,0,0,2017,2
2019-07-10,149602,0,277988,0,2017,2
2019-07-15,101648,0,10353540,0,2017,3
2019-07-12,168670,0,2123756,0,2017,3
2019-07-12,82269,0,0,0,2017,3
2019-07-08,106026,0,5899028,0,2017,3
2019-07-11,39704,0,3006095,0,2017,3
2019-07-11,60575,0,392507,0,2017,3
2019-07-12,168670,0,2578450,0,2017,4
2019-07-12,82269,0,0,0,2017,4
2019-07-15,10489,0,1140612,0,2017,4
2019-07-14,185668,0,2747354,0,2017,4
2019-07-08,106026,0,6283521,0,2017,4
2019-07-10,35149,0,114507138,0,2017,4
2019-07-11,193190,0,45018909,0,2017,4
2018-09-18,107025,0,8395658,0,2017,4
2019-07-11,73416,0,43944,0,2017,4
2019-07-10,180488,0,0,0,2017,4
2019-07-04,106116,0,3367396,0,2017,4
2019-07-15,152416,0,4693959,0,2017,4
2019-07-09,147180,0,338653,0,2017,4
2019-07-12,119764,0,2626030,0,2018,1
2019-07-09,114900,0,152651,0,2018,1
2019-06-28,29810,0,604373,0,2018,1
2019-07-15,152170,0,108686,0,2018,1
2019-07-11,57440,0,9110633,0,2018,1
2019-07-09,77835,0,3558106,0,2018,1
2018-04-23,180707,0,9588207,0,2018,1
2019-07-10,44006,0,2398123,0,2018,1
2019-07-12,82269,0,0,0,2018,1
2018-11-30,74536,0,44710165,0,2018,1
2019-07-12,195534,0,2659301,0,2018,1
2019-07-09,185686,0,2475357,0,2018,1
2019-07-11,106026,0,1219147,0,2018,1
2019-07-10,118148,0,34496112,0,2018,1
2019-07-12,40271,0,5191852,0,2018,2
2019-07-10,44006,0,6450582,0,2018,2
2019-07-09,185686,0,50514400,0,2018,2
2019-07-11,106026,0,3742245,0,2018,2
2019-07-09,77835,0,2110506,0,2018,2
2019-07-12,82269,0,0,0,2018,2
2018-08-30,176836,0,1880727,0,2018,2
2019-07-11,37321,0,14011,0,2018,2
2019-07-12,134083,0,162299,0,2018,2
2019-07-09,41444,0,660373,0,2018,2
2019-07-15,73865,0,285202,0,2018,2
2018-07-23,180707,0,20483261,0,2018,2
2019-07-11,18974,0,0,0,2018,2
2019-07-08,158781,0,130794027,0,2018,2
2019-07-11,118148,0,37364777,0,2018,2
2019-07-12,166495,0,11670029,0,2018,3
2019-07-15,66927,0,48465,0,2018,3
2019-07-11,37321,0,5615845,0,2018,3
2019-07-09,185686,0,7917560,0,2018,3
2019-07-10,23481,0,7255839,0,2018,3
2019-07-12,45374,0,766327,0,2018,3
2019-07-08,169629,0,0,0,2018,3
2019-07-15,59618,0,182726688,0,2018,3
2019-07-11,2117,0,2180072,0,2018,3
2019-07-10,106835,0,117293965,0,2018,3
2019-07-11,106026,0,6463434,0,2018,3
2019-07-11,143398,0,24053885,0,2018,3
2019-07-12,34395,0,39851475,0,2018,3
2019-07-12,82269,0,0,0,2018,3
2019-07-11,44006,0,8907060,0,2018,3
2019-07-10,131942,0,94015789,0,2018,3
2019-06-20,161914,0,27984,0,2018,3
2019-03-22,150988,0,145838,0,2018,3
2019-07-11,7756,0,26949613,0,2018,3
2019-07-11,152974,0,6708705,0,2018,3
2019-07-11,68600,0,3131151,0,2018,3
2019-07-11,18974,0,0,0,2018,3
2019-07-10,94764,0,0,0,2018,3
2019-06-13,57440,0,16710556,0,2018,3
2019-07-15,96675,0,7781200,0,2018,3
2019-07-11,13441,0,0,0,2018,4
2019-02-28,159646,0,17060190,0,2018,4
2019-07-12,58739,0,0,0,2018,4
2015-12-01,19863,0,9890883,0,2018,4
2019-01-24,30908,0,1580016,0,2018,4
2019-07-15,179560,0,89505890,0,2018,4
2019-07-09,53340,0,3623426,0,2018,4
2019-07-15,152416,0,4281448,0,2018,4
2019-06-21,161914,0,280220,0,2018,4
2019-07-09,185686,0,73862418,0,2018,4
2019-07-13,192088,0,0,0,2018,4
2019-07-12,129149,0,94012522,0,2018,4
2019-07-12,106026,0,4490873,0,2018,4
2019-07-10,89147,0,2855063,0,2018,4
2019-07-11,184978,0,101274713,0,2018,4
2019-07-08,158781,0,191610020,0,2018,4
2019-07-11,44006,0,24695487,0,2018,4
2019-01-25,192133,0,37667661,0,2018,4
2019-07-10,89763,0,1775013,0,2018,4
2019-07-10,28135,0,14690274,0,2018,4
2019-07-08,155464,0,9599376,0,2018,4
2019-07-10,118148,0,74820563,0,2018,4
2019-01-24,102417,0,0,0,2018,4
2019-07-15,68600,0,3673477,0,2018,4
2019-07-12,39316,0,1207637,0,2018,4
2019-07-10,67879,0,4855073,0,2018,4
2019-07-11,78665,0,681148,0,2018,4
2019-07-15,46231,0,109726143,0,2018,4
2019-07-12,104892,0,1472653,0,2018,4
2019-07-12,84896,0,470433,0,2018,4
2019-01-25,161855,0,340693,0,2018,4
2019-07-05,12255,0,0,0,2018,4
2019-07-10,106116,0,5752849,0,2018,4
2019-07-12,168826,0,90136485,0,2018,4
2019-07-12,82269,0,0,0,2018,4
2019-07-15,108746,0,841407,0,2018,4
2019-07-09,98118,0,52860841,0,2018,4
2019-07-08,177428,0,438850,0,2018,4
2019-01-25,164020,0,20492999,0,2018,4
2019-07-11,99195,0,6462451,0,2018,4
2019-07-11,189858,0,240490325,0,2018,4
2019-07-12,176917,0,44475145,0,2018,4
2019-07-10,94764,0,0,0,2018,4
2019-07-11,37611,0,4599620,0,2018,4
2019-07-15,126676,0,2596101,0,2018,4
2019-05-29,1961,0,17941652,0,2019,1
2019-04-25,14494,0,0,0,2019,1
2019-04-07,16965,0,0,0,2019,1
2019-04-19,20718,0,0,0,2019,1
2019-04-25,23470,0,0,0,2019,1
2020-10-13,24287,0,10077191,0,2019,1
2019-04-03,26572,0,0,0,2019,1
2019-04-06,35705,0,0,0,2019,1
2019-04-25,47102,0,183278,0,2019,1
2019-04-22,49002,0,165250,0,2019,1
2019-04-04,50196,0,0,0,2019,1
2019-04-04,50985,0,0,0,2019,1
2019-06-15,51146,0,3423126,0,2019,1
2019-04-11,58551,0,0,0,2019,1
2019-04-25,58572,0,258916,0,2019,1
2019-04-22,61640,0,0,0,2019,1
2019-04-24,62250,0,2524285,0,2019,1
2019-08-09,63594,0,5150746,0,2019,1
2019-04-23,69498,0,1141763,0,2019,1
2019-04-23,69890,0,1641864,0,2019,1
2019-04-25,75347,0,642263,0,2019,1
2019-04-01,78213,0,0,0,2019,1
2019-04-22,80195,0,20188,0,2019,1
2021-05-20,80443,0,9840483,0,2019,1
2019-04-22,81925,0,62448,0,2019,1
2019-04-24,82391,0,1524415,0,2019,1
2019-04-23,86342,0,14980496,0,2019,1
2019-04-23,86682,0,4979563,0,2019,1
2019-07-08,88666,0,2512181,0,2019,1
2019-04-02,91618,0,0,0,2019,1
2019-04-24,96663,0,309091,0,2019,1
2019-04-24,98416,0,5210593,0,2019,1
2019-10-23,99143,0,0,0,2019,1
2019-04-24,103753,0,18023574,0,2019,1
2019-10-24,107327,0,0,0,2019,1
2019-04-11,107431,0,0,0,2019,1
2019-12-19,109530,0,0,0,2019,1
2019-04-22,113773,0,183243,0,2019,1
2019-05-23,117256,0,0,0,2019,1
2019-04-23,118140,0,1216141,0,2019,1
2019-04-23,120153,0,1433470,0,2019,1
2019-04-03,121945,0,0,0,2019,1
2019-04-23,124575,0,10087,0,2019,1
2019-04-21,126275,0,0,0,2019,1
2019-04-24,126277,0,115608,0,2019,1
2019-04-03,127185,0,94247,0,2019,1
2019-10-18,128885,0,260295,0,2019,1
2019-07-25,132938,0,5899762,0,2019,1
2019-04-11,135820,0,0,0,2019,1
2019-04-25,136190,0,46195,0,2019,1
2019-04-18,138287,0,0,0,2019,1
2019-05-28,138841,0,1237719,0,2019,1
2019-04-12,140959,0,771649,0,2019,1
2019-04-10,142691,0,0,0,2019,1
2019-07-05,145607,0,3571447,0,2019,1
2019-06-13,147711,0,2901226,0,2019,1
2019-04-25,150392,0,0,0,2019,1
2019-04-24,157033,0,0,0,2019,1
2019-04-25,158063,0,24490,0,2019,1
2019-04-24,159064,0,0,0,2019,1
2019-04-15,164021,0,0,0,2019,1
2019-04-20,166110,0,5201859,0,2019,1
2019-07-26,167950,0,70411,0,2019,1
2019-04-11,172273,0,0,0,2019,1
2019-04-24,177761,0,230545,0,2019,1
2019-04-22,178750,0,0,0,2019,1
2019-08-06,184199,0,4169814,0,2019,1
2019-04-23,184459,0,0,0,2019,1
2019-04-25,186520,0,1977028,0,2019,1
2019-04-24,187165,0,10147782,0,2019,1
2019-05-21,189093,0,2016,0,2019,1
2019-04-22,198213,0,0,0,2019,1
2019-04-25,198632,0,333887,0,2019,1
2019-04-15,198747,0,0,0,2019,1
2019-04-05,9509,0,0,0,2019,1
2019-04-25,10083,0,0,0,2019,1
2019-04-23,10275,0,703795,0,2019,1
2019-04-01,22717,0,0,0,2019,1
2019-04-22,33229,0,461103,0,2019,1
2019-04-25,34462,0,1335007,0,2019,1
2019-04-14,36334,0,0,0,2019,1
2019-04-18,49976,0,0,0,2019,1
2019-04-23,50638,0,0,0,2019,1
2019-06-13,52267,0,1761665,0,2019,1
2019-04-25,55811,0,3330109,0,2019,1
2019-06-06,57212,0,911817,0,2019,1
2019-04-24,58046,0,0,0,2019,1
2019-04-08,65760,0,0,0,2019,1
2019-04-01,72026,0,0,0,2019,1
2019-04-17,77330,0,0,0,2019,1
2019-10-03,78573,0,1678051,0,2019,1
2019-04-13,79445,0,0,0,2019,1
